Username,ID_Wahana,Jumlah_Tiket,-1
surya,KAI190,2
aurel,KAI191,2
gisel,UHK191,3
bayu,AJH198,4
neymar,AAB123,1
neymar,KAI191,1
surya,PAR167,1
-1






















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































