username,tanggal_penggunaan,id_wahana,jumlah_tiket,-1
surya,09/12/2020,KAI191,3
surya,12/12/2020,UHK191,3
radhit,12/12/2020,UHK191,7
gisel,10/09/2020,UHJ191,1
radhit,19/09/2020,KAI191,1
surya,19/09/2020,UHK190,1
aldi,18/09/2020,YUK190,2
irfan,19/09/2020,YUK190,1
andi,19/09/2020,YUK190,1
irfan,19/09/2020,YUK190,1
bayu,19/09/2020,AJH198,2
neymar,19/09/2020,AAB123,1
neymar,18/09/2020,KAI191,1
surya,18/09/2020,PAR167,1
-1





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































